AUTH: 2025/06/17 11:02:57 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 11:05:09 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 11:05:28 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 11:19:23 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 11:21:56 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 11:22:10 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 11:22:31 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 11:24:06 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 11:25:14 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 11:26:33 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: LOGIN
AUTH: 2025/06/17 11:28:15 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: LOGOUT
AUTH: 2025/06/17 12:07:03 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 12:12:43 logger.go:35: UserID: 6 | Username: SYSTEM | Action: SESSION_EXPIRED
AUTH: 2025/06/17 12:13:57 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 12:19:43 logger.go:35: UserID: 6 | Username: SYSTEM | Action: SESSION_EXPIRED
AUTH: 2025/06/17 12:21:37 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 12:21:37 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 12:21:45 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 12:27:43 logger.go:35: UserID: 6 | Username: SYSTEM | Action: SESSION_EXPIRED
AUTH: 2025/06/17 13:16:55 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 13:17:36 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:17:36 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:17:41 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:18:46 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 13:18:53 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 13:20:01 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 13:20:27 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGIN
AUTH: 2025/06/17 13:22:33 logger.go:35: UserID: 6 | Username: AdministradorSimclec | Action: LOGOUT
AUTH: 2025/06/17 13:23:32 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: LOGIN
AUTH: 2025/06/17 13:28:25 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: TOKEN_RENEWED (pendiente de promoción)
AUTH: 2025/06/17 13:28:40 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:29:25 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: LOGIN
AUTH: 2025/06/17 13:33:26 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: TOKEN_RENEWED (pendiente de promoción)
AUTH: 2025/06/17 13:33:26 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: TOKEN_RENEWED (pendiente de promoción)
AUTH: 2025/06/17 13:35:36 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:35:37 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:37:01 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: LOGIN
AUTH: 2025/06/17 13:41:07 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: TOKEN_RENEWED (pendiente de promoción)
AUTH: 2025/06/17 13:42:02 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:42:02 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:42:02 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:42:06 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:42:06 logger.go:35: UserID: 0 | Username:  | Action: INVALID_TOKEN
AUTH: 2025/06/17 13:42:51 logger.go:35: UserID: 15 | Username: maria_lopez90 | Action: LOGIN
